Source Role(s),Menu Item Name,Menu Item Route,Menu,Menu Type,Menu Item Product,Menu Item Page URL
AR Manager,WIPS ARU Header Report,reports/wipsaruheaderreport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/wipsaruheaderreport
AR Manager,WIPS Auto Generate,tools/wipsautogenerate,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/tools/wipsautogenerate
AR Manager,WIPS Configuration,setup/wipsadministration,AR Manager - Payments Admin,Global,ARManagera13NET,/armanagera13net/content2/setup/wipsadministration
AR Manager,WIPS Directory,reports/wipsdirectoryreport,AR Manager - Payments,Global,ARManagera13NET,/armanagera13net/content2/reports/wipsdirectoryreport
GL Manager,Workflow Dashboard,workflow,glmanagernet,Global,glmanagernet,/glmanagernet/content2/workflow
AR Manager,Write Off,armanager/writeoffcharges,AR Manager,Global,ARManagera13NET,/armanagera13net/content2/armanager/writeoffcharges
GL Manager,Write Off,reversewriteoff,glmanagernet,Global,glmanagernet,
Voyager 8 Residential - Accounting,Account Trees,accounttree,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/accounttree
Voyager 8 Residential - Accounting,Accounting,,Voyager 8 Residential - Accounting,Global,ResManager,
Voyager 8 Residential - Accounting,Accounting,,Voyager 8 Residential - Accounting,Global,ResManager,
Voyager 8 Residential - Accounting,Accounting,dashboard,Voyager 8 Residential - Accounting,Global,glmanagernet,/crmiqnet/content2/inter-product?pageURL=%2Fcontent2%2Fdashboard&product=GLManagerNet
Voyager 8 Residential - Accounting,Add Accounts for Multiple Fee Pool,managementfee/multipleloadaccount,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/managementfee/multipleloadaccount
Voyager 8 Residential - Accounting,Add Charge Batch,charge/batchcharge/0,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/content2/charge/batchcharge/0
Voyager 8 Residential - Accounting,Add Fee Pool,managementfee/feepool,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/managementfee/feepool
Voyager 8 Residential - Accounting,Add Journal Batch,journalcomponent/jebatch/0,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/content2/journalcomponent/jebatch/0
Voyager 8 Residential - Accounting,Add Payable,app.glap.payablebatch.new,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content/#/app/glap/payablebatch/new
Voyager 8 Residential - Accounting,Add Quick Charge Batch,/tools/createquickcharge,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/armanagera13net/content2/tools/createquickcharge
Voyager 8 Residential - Accounting,Add Receipt Batch,receipt/component?createNewBatch=true,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/content2/receipt/batchreceipt
Voyager 8 Residential - Accounting,Add Vendor,app.vendor.add,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content/#/app/vendor/add
Voyager 8 Residential - Accounting,AP Aging,app.apanalytics.aging,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content/#/app/apanalytics/agingreport
Voyager 8 Residential - Accounting,AP Analytics,apanalytics,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/apanalytics
Voyager 8 Residential - Accounting,AR Calendar,reports/paymentscalendar,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/content2/reports/paymentscalendar
Voyager 8 Residential - Accounting,Attributes,attributesets,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/attributesets
Voyager 8 Residential - Accounting,Bank Accounts,bankaccount,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/bankaccount
Voyager 8 Residential - Accounting,Bank Analytics,bankreports,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/bankreports
Voyager 8 Residential - Accounting,Bank Reconciliation,,Voyager 8 Residential - Accounting,Global,glmanagernet,
Voyager 8 Residential - Accounting,Bank Reconciliation,bankreconciliation/reconciliation,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/bankreconciliation/reconciliation
Voyager 8 Residential - Accounting,Bank Reconciliation Upload,bankreconciliation/bankmanager,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/bankreconciliation/bankmanager
Voyager 8 Residential - Accounting,Bank Reconciliation Upload Report,bankreconciliation/bankmanagerreport,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/bankreconciliation/bankmanagerreport
Voyager 8 Residential - Accounting,Charge Codes,chargecode,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/chargecode
Voyager 8 Residential - Accounting,Charges,charges/list,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/armanagera13net/content2/charges/list
Voyager 8 Residential - Accounting,Check Book Maintenance,checkbookmaintenance,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/checkbookmaintenance
Voyager 8 Residential - Accounting,CHECKscan Summary,reports/checkscansummary,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/armanagera13net/content2/reports/checkscansummary
Voyager 8 Residential - Accounting,Close / Open Month,closeperiod,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/closeperiod
Voyager 8 Residential - Accounting,Close Property,closeproperty,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/closeproperty
Voyager 8 Residential - Accounting,Close Year,closeyear,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/closeyear
Voyager 8 Residential - Accounting,Collect Processor Report,reports/collectprocessor,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/armanagera13net/content2/reports/collectprocessor
Voyager 8 Residential - Accounting,Collections,,Voyager 8 Residential - Accounting,Global,crmiqnet,
Voyager 8 Residential - Accounting,Collections,collectiondashboard/collectiondashboard,Voyager 8 Residential - Accounting,Global,crmiqnet,/crmiqnet/content2/collectiondashboard/collectiondashboard
Voyager 8 Residential - Accounting,Commit Payment,app.glap.commitpayment,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content/#/app/glap/commitpayment
Voyager 8 Residential - Accounting,Community Manager,voyagerdashboard/v8dashboard,Voyager 8 Residential - Accounting,Global,ResManager,/crmiqnet/content2/voyagerdashboard/v8dashboard
Voyager 8 Residential - Accounting,Company,glcompany,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/glcompany
Voyager 8 Residential - Accounting,Copy Fee Pool,managementfee/copyfeepool,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/managementfee/copyfeepool
Voyager 8 Residential - Accounting,Credit Card Summary,reports/creditcardsummaryreport,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/armanagera13net/content2/reports/creditcardsummaryreport
Voyager 8 Residential - Accounting,Custom Financial Analytics,Customfinancial,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/Customfinancial
Voyager 8 Residential - Accounting,Custom Reports,,Voyager 8 Residential - Accounting,Global,ResManager,
Voyager 8 Residential - Accounting,Dashboards,dashboard/dashboardagentleads,Voyager 8 Residential - Accounting,Global,ResManager,/crmiqnet/content2/dashboard/dashboardagentleads
Voyager 8 Residential - Accounting,Distribute Interest,armanager/reversechargesopenperiod,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/armanagera13net/content2/charges/distributeinterest
Voyager 8 Residential - Accounting,Distribute Journal,distributeje,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/distributeje
Voyager 8 Residential - Accounting,End Period,,Voyager 8 Residential - Accounting,Global,glmanagernet,
Voyager 8 Residential - Accounting,Financial Packets,financialpackets,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/financialpackets
Voyager 8 Residential - Accounting,Financial Reports,financialreportsnew,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/financialreportsnew
Voyager 8 Residential - Accounting,Financial Reports w/ Notes,financialreportsnotes,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/financialreportsnotes
Voyager 8 Residential - Accounting,G/L,dashboard,Voyager 8 Residential - Accounting,Global,glmanagernet,
Voyager 8 Residential - Accounting,GL Accounts,glaccounts,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/glaccounts
Voyager 8 Residential - Accounting,GL Allocation,glallocate,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/glallocate
Voyager 8 Residential - Accounting,GPR Journal,postgprmarketrent,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/postgprmarketrent
Voyager 8 Residential - Accounting,Gross Potential Rent,reports/grosspotentialrent,Voyager 8 Residential - Accounting,Global,ResManager,crmiqnet/content2/#/reports/grosspotentialrent
Voyager 8 Residential - Accounting,Import,import,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/import
Voyager 8 Residential - Accounting,Intercompany Reimbursement,app.glap.intercoreimbursement,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content/#/app/glap/intercoreimbursement
Voyager 8 Residential - Accounting,Invoice Dashboard,app.ir.dashboard,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/procuretopaynet/content/#/app/ir/dashboard
Voyager 8 Residential - Accounting,Invoice Workflow Dashboard,workflow/dashboard?objecttype=invoice,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content2/workflow/dashboard?objecttype=invoice
Voyager 8 Residential - Accounting,Journals,,Voyager 8 Residential - Accounting,Global,glmanagernet,
Voyager 8 Residential - Accounting,Lease Expiration,reports/leaseexpiration,Voyager 8 Residential - Accounting,Global,ResManager,/crmiqnet/content2/reports/leaseexpiration
Voyager 8 Residential - Accounting,Make Adjustment,app.glap.makeadjustment,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content/#/app/glap/adjustments
Voyager 8 Residential - Accounting,Management Fee,,Voyager 8 Residential - Accounting,Global,glmanagernet,
Voyager 8 Residential - Accounting,Management Fee Calculation,managementfee/managementfeecalculation,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/managementfee/managementfeecalculation
Voyager 8 Residential - Accounting,Manual Payment,app.glap.manualpayment,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content/#/app/glap/manualpayment
Voyager 8 Residential - Accounting,Market Rent Schedule,reports/marketrentschedule,Voyager 8 Residential - Accounting,Global,ResManager,/crmiqnet/content2/reports/marketrentschedule
Voyager 8 Residential - Accounting,Mass Collection Status,collection/masscollectionstatusupdate,Voyager 8 Residential - Accounting,Global,crmiqnet,/crmiqnet/content2/collection/masscollectionstatusupdate
Voyager 8 Residential - Accounting,Mass Hold and Risk Update,collection/massholdriskupdate,Voyager 8 Residential - Accounting,Global,crmiqnet,/crmiqnet/content2/collection/massholdriskupdate
Voyager 8 Residential - Accounting,Merge Bank Deposits,bankdepositmerge,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/bankdepositmerge
Voyager 8 Residential - Accounting,Monthly Posting,receivables/charges/monthlyposting,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/armanagera13net/content2/receivables/charges/monthlyposting
Voyager 8 Residential - Accounting,New Leases,reports/newleases,Voyager 8 Residential - Accounting,Global,ResManager,/crmiqnet/content2/reports/newleases
Voyager 8 Residential - Accounting,Open / Close Books,closeopenbook,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/closeopenbook
Voyager 8 Residential - Accounting,Owners,owners,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/owners
Voyager 8 Residential - Accounting,Payables,,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,
Voyager 8 Residential - Accounting,Payee Ledger,app.apanalytics.payeeledger,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content/#/app/apanalytics/payeeledger
Voyager 8 Residential - Accounting,Payment Processing,,Voyager 8 Residential - Accounting,Global,ARManagera13NET,
Voyager 8 Residential - Accounting,Payments,,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,
Voyager 8 Residential - Accounting,Payments Calendar,reports/paymentscalendar,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/armanagera13net/content2/reports/paymentscalendar
Voyager 8 Residential - Accounting,Post Fixed Charge,charges/distributeinterest,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/armanagera13net/content2/charges/postfixedcharge
Voyager 8 Residential - Accounting,Post Late Fee,armanager/postlatefee,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/armanagera13net/content2/armanager/postlatefee
Voyager 8 Residential - Accounting,Post Transfer,posttransfer,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/posttransfer
Voyager 8 Residential - Accounting,Process Payment,app.glap.processpayment,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content/#/app/glap/processpayment
Voyager 8 Residential - Accounting,Procure to Pay,,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,
Voyager 8 Residential - Accounting,Properties,,Voyager 8 Residential - Accounting,Global,glmanagernet,
Voyager 8 Residential - Accounting,Properties,property,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/property
Voyager 8 Residential - Accounting,Property,,Voyager 8 Residential - Accounting,Global,ResManager,
Voyager 8 Residential - Accounting,Property Fee Pool,managementfee/feepoolpropertylist,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/managementfee/feepoolpropertylist
Voyager 8 Residential - Accounting,Property Lists,propertylist,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/propertylist
Voyager 8 Residential - Accounting,Receipts,,Voyager 8 Residential - Accounting,Global,ARManagera13NET,
Voyager 8 Residential - Accounting,Receivable Analytics,armanager/residentialanalyticsreport,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/content2/armanager/residentialanalyticsreport
Voyager 8 Residential - Accounting,Reclass Expense,app.glap.reclasspayablesearch,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content/#/app/glap/reclasspayablesearch
Voyager 8 Residential - Accounting,Recurring Journals,recurringjournals,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/recurringjournals
Voyager 8 Residential - Accounting,Register Reports,reports/transactionregisterreportnew,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/armanagera13net/content2/reports/transactionregisterreportnew
Voyager 8 Residential - Accounting,Rent Roll,reports/rentroll,Voyager 8 Residential - Accounting,Global,ResManager,/crmiqnet/content2/reports/rentroll
Voyager 8 Residential - Accounting,Rent Roll With Lease Charges,reports/rentrollwithleasecharges,Voyager 8 Residential - Accounting,Global,ResManager,/crmiqnet/content2/reports/rentrollwithleasecharges
Voyager 8 Residential - Accounting,Reports,reports,Voyager 8 Residential - Accounting,Global,ResManager,/crmiqnet/content2/reports
Voyager 8 Residential - Accounting,Resident,,Voyager 8 Residential - Accounting,Global,ResManager,
Voyager 8 Residential - Accounting,Resident Activity Detail,reports/residentactivity,Voyager 8 Residential - Accounting,Global,ResManager,/crmiqnet/content2/reports/residentactivity
Voyager 8 Residential - Accounting,Resident Directory,reports/residentdirectory,Voyager 8 Residential - Accounting,Global,ResManager,/crmiqnet/content2/reports/residentdirectory
Voyager 8 Residential - Accounting,Residential Correspondence,reports/residentialcorrespondence,Voyager 8 Residential - Accounting,Global,ResManager,/content2/reports/residentialcorrespondence
Voyager 8 Residential - Accounting,Reverse Charges,,Voyager 8 Residential - Accounting,Global,ARManagera13NET,
Voyager 8 Residential - Accounting,Reverse Charges,armanager/reversecharges,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/armanagera13net/content2/armanager/reversecharges
Voyager 8 Residential - Accounting,Reverse Charges (Closed Period),armanager/reversechargesclosedperiod,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/armanagera13net/content2/armanager/reversechargesclosedperiod
Voyager 8 Residential - Accounting,Reverse Charges (Open Period),armanager/reversechargesopenperiod,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/armanagera13net/content2/armanager/reversechargesopenperiod
Voyager 8 Residential - Accounting,Reverse Journals,reversejournals,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/reversejournals
Voyager 8 Residential - Accounting,Review Bank Deposit,bankdeposits,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/bankdeposits
Voyager 8 Residential - Accounting,Review Charge,charges/list,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/content2/charges/list
Voyager 8 Residential - Accounting,Review Charge Batch,charge/findchargebatch,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/content2/charge/findchargebatch
Voyager 8 Residential - Accounting,Review Fee Pool,managementfee/reviewfeepool,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/managementfee/reviewfeepool
Voyager 8 Residential - Accounting,Review Journal Batch,basebatch/journallist,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/basebatch/journallist
Voyager 8 Residential - Accounting,Review Journals,journals,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/journals
Voyager 8 Residential - Accounting,Review Payable,app.glap.payable,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content/#/app/glap/payable
Voyager 8 Residential - Accounting,Review Payable Batch,app.glap.payablebatch,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content/#/app/glap/payablebatch
Voyager 8 Residential - Accounting,Review Payment,app.billpay.check,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content/#/app/billpay/check
Voyager 8 Residential - Accounting,Review Receipt,payment/list,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/content2/payment/list
Voyager 8 Residential - Accounting,Review Receipt Batch,receipt/component?findReceiptBatch=true,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/content2/receipt/findbatches
Voyager 8 Residential - Accounting,Review Vendor/Payee,app.billpay.payee,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content/#/app/billpay/payee
Voyager 8 Residential - Accounting,Review/Edit G/L Budget,glbudget,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/glbudget
Voyager 8 Residential - Accounting,Rewrite Checks,app.glap.printchecks,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content/#/app/glap/printchecks
Voyager 8 Residential - Accounting,Search Invoice Register,app.ir.search,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/procuretopaynet/content/#/app/ir/search
Voyager 8 Residential - Accounting,Security Deposit Activity,reports/securitydeposit,Voyager 8 Residential - Accounting,Global,ResManager,/crmiqnet/content2/reports/securitydeposit
Voyager 8 Residential - Accounting,Segment Analytics,segmentanalytics,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/segmentanalytics
Voyager 8 Residential - Accounting,Setup,,Voyager 8 Residential - Accounting,Global,glmanagernet,
Voyager 8 Residential - Accounting,SQL Reports,sqlreports/list,Voyager 8 Residential - Accounting,Global,VoyagerSetupNet,/voyagersetupnet/content2/sqlreports/list
Voyager 8 Residential - Accounting,System,,Voyager 8 Residential - Accounting,Global,glmanagernet,
Voyager 8 Residential - Accounting,Uncommit Payment,app.glap.uncommitpayment,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content/#/app/glap/uncommitpayment
Voyager 8 Residential - Accounting,Unit Types,unittype,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/unittype
Voyager 8 Residential - Accounting,Units,,Voyager 8 Residential - Accounting,Global,glmanagernet,
Voyager 8 Residential - Accounting,Units,unit,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/unit
Voyager 8 Residential - Accounting,Unpost Management Fee Calculation,managementfee/unpostmanagementfee,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/managementfee/unpostmanagementfee
Voyager 8 Residential - Accounting,Unposted Management Fee Register Report,managementfee/managementfeereport,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/managementfee/managementfeereport
Voyager 8 Residential - Accounting,Un-Reconcile Bank,bankunreconcile,Voyager 8 Residential - Accounting,Global,glmanagernet,/content2/bankunreconcile
Voyager 8 Residential - Accounting,Vendor,,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,
Voyager 8 Residential - Accounting,Void Payments,app.glap.voidchecks,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content/#/app/glap/voidchecks
Voyager 8 Residential - Accounting,Weekly Status Report,reports/weeklystatus,Voyager 8 Residential - Accounting,Global,ResManager,/content2/reports/weeklystatus
Voyager 8 Residential - Accounting,Write Off,/armanager/writeoffcharges,Voyager 8 Residential - Accounting,Global,ARManagera13NET,/armanagera13net/content2/armanager/writeoffcharges
Voyager 8 Residential - Accounting,Yardi Marketplace,marketplace,Voyager 8 Residential - Accounting,Global,ProcuretoPayNet,/content2/marketplace
Voyager 8 Residential - Accounting,YSR Reports,ysrreports,Voyager 8 Residential - Accounting,Global,ResManager,/crmiqnet/content2/ysrreports
